[tm1:1507851229003692,tm2:1507851229014889(11197),tm3:1507851229021665(17973),tm4:1507851229021691(17999)]
[tm1:1507851229053541,tm2:1507851229064830(11289),tm3:1507851229071866(18325),tm4:1507851229071894(18353)]
[tm1:1507851229104256,tm2:1507851229115756(11500),tm3:1507851229122544(18288),tm4:1507851229122579(18323)]
[tm1:1507851229154860,tm2:1507851229166650(11790),tm3:1507851229173562(18702),tm4:1507851229173589(18729)]
[tm1:1507851229204602,tm2:1507851229215678(11076),tm3:1507851229222991(18389),tm4:1507851229223019(18417)]
[tm1:1507851229255945,tm2:1507851229267442(11497),tm3:1507851229274466(18521),tm4:1507851229274502(18557)]
[tm1:1507851229305340,tm2:1507851229554810(249470),tm3:1507851229562413(257073),tm4:1507851229562442(257102)]
[tm1:1507851229594479,tm2:1507851229607969(13490),tm3:1507851229615721(21242),tm4:1507851229615749(21270)]
[tm1:1507851229647018,tm2:1507851229660336(13318),tm3:1507851229670312(23294),tm4:1507851229670366(23348)]
[tm1:1507851229705319,tm2:1507851229718975(13656),tm3:1507851229727405(22086),tm4:1507851229727481(22162)]
[tm1:1507851229758539,tm2:1507851229771989(13450),tm3:1507851229780245(21706),tm4:1507851229780297(21758)]
[tm1:1507851229816080,tm2:1507851229829682(13602),tm3:1507851229838125(22045),tm4:1507851229838170(22090)]
[tm1:1507851229869266,tm2:1507851229882945(13679),tm3:1507851229892571(23305),tm4:1507851229892609(23343)]
[tm1:1507851229923204,tm2:1507851229937139(13935),tm3:1507851229945278(22074),tm4:1507851229945313(22109)]
[tm1:1507851229977883,tm2:1507851229991110(13227),tm3:1507851229999435(21552),tm4:1507851229999476(21593)]
[tm1:1507851230030682,tm2:1507851230044411(13729),tm3:1507851230053164(22482),tm4:1507851230053197(22515)]
[tm1:1507851230086018,tm2:1507851230099399(13381),tm3:1507851230107785(21767),tm4:1507851230107818(21800)]
[tm1:1507851230140156,tm2:1507851230154352(14196),tm3:1507851230163696(23540),tm4:1507851230163744(23588)]
[tm1:1507851230195897,tm2:1507851230209633(13736),tm3:1507851230218405(22508),tm4:1507851230218436(22539)]
[tm1:1507851230249138,tm2:1507851230262860(13722),tm3:1507851230271619(22481),tm4:1507851230271651(22513)]
[tm1:1507851230301837,tm2:1507851230315472(13635),tm3:1507851230325102(23265),tm4:1507851230325228(23391)]
[tm1:1507851230357945,tm2:1507851230371995(14050),tm3:1507851230381463(23518),tm4:1507851230381507(23562)]
[tm1:1507851230414214,tm2:1507851230428339(14125),tm3:1507851230437930(23716),tm4:1507851230437974(23760)]
[tm1:1507851230468382,tm2:1507851230482300(13918),tm3:1507851230493108(24726),tm4:1507851230493166(24784)]
[tm1:1507851230524875,tm2:1507851230539302(14427),tm3:1507851230548907(24032),tm4:1507851230548952(24077)]
[tm1:1507851230585370,tm2:1507851230599542(14172),tm3:1507851230609361(23991),tm4:1507851230609406(24036)]
[tm1:1507851230642213,tm2:1507851230656994(14781),tm3:1507851230666817(24604),tm4:1507851230666863(24650)]
[tm1:1507851230701146,tm2:1507851230715335(14189),tm3:1507851230724809(23663),tm4:1507851230724843(23697)]
[tm1:1507851230759394,tm2:1507851230773862(14468),tm3:1507851230783370(23976),tm4:1507851230783403(24009)]
[tm1:1507851230817553,tm2:1507851230832160(14607),tm3:1507851230842328(24775),tm4:1507851230842362(24809)]
[tm1:1507851230876746,tm2:1507851230891327(14581),tm3:1507851230902892(26146),tm4:1507851230902935(26189)]
[tm1:1507851230937820,tm2:1507851230952693(14873),tm3:1507851230962960(25140),tm4:1507851230962996(25176)]
[tm1:1507851230995365,tm2:1507851231260399(265034),tm3:1507851231270789(275424),tm4:1507851231270825(275460)]
[tm1:1507851231301142,tm2:1507851231318140(16998),tm3:1507851231328875(27733),tm4:1507851231328909(27767)]
[tm1:1507851231363182,tm2:1507851231380074(16892),tm3:1507851231392413(29231),tm4:1507851231392454(29272)]
[tm1:1507851231422444,tm2:1507851231439808(17364),tm3:1507851231451072(28628),tm4:1507851231451113(28669)]
[tm1:1507851231482768,tm2:1507851231499718(16950),tm3:1507851231511223(28455),tm4:1507851231511261(28493)]
[tm1:1507851231545142,tm2:1507851231562383(17241),tm3:1507851231574361(29219),tm4:1507851231574413(29271)]
[tm1:1507851231604568,tm2:1507851231622269(17701),tm3:1507851231634150(29582),tm4:1507851231634188(29620)]
[tm1:1507851231664760,tm2:1507851231682770(18010),tm3:1507851231694830(30070),tm4:1507851231694868(30108)]
[tm1:1507851231725932,tm2:1507851231743567(17635),tm3:1507851231755567(29635),tm4:1507851231755606(29674)]
[tm1:1507851231786111,tm2:1507851231802267(16156),tm3:1507851231813809(27698),tm4:1507851231813843(27732)]
[tm1:1507851231848362,tm2:1507851231864353(15991),tm3:1507851231875672(27310),tm4:1507851231875707(27345)]
[tm1:1507851231910863,tm2:1507851231926373(15510),tm3:1507851231938144(27281),tm4:1507851231938179(27316)]
[tm1:1507851231971318,tm2:1507851231987103(15785),tm3:1507851231998621(27303),tm4:1507851231998656(27338)]
[tm1:1507851232032618,tm2:1507851232048835(16217),tm3:1507851232063158(30540),tm4:1507851232063194(30576)]
[tm1:1507851232097371,tm2:1507851232112085(14714),tm3:1507851232123719(26348),tm4:1507851232123754(26383)]
[tm1:1507851232154675,tm2:1507851232171343(16668),tm3:1507851232183096(28421),tm4:1507851232183147(28472)]
[tm1:1507851232217260,tm2:1507851232235529(18269),tm3:1507851232248283(31023),tm4:1507851232248338(31078)]
[tm1:1507851232282320,tm2:1507851232300498(18178),tm3:1507851232314944(32624),tm4:1507851232315001(32681)]
[tm1:1507851232350178,tm2:1507851232368901(18723),tm3:1507851232384993(34815),tm4:1507851232385057(34879)]
[tm1:1507851232419951,tm2:1507851232437977(18026),tm3:1507851232450910(30959),tm4:1507851232450951(31000)]
[tm1:1507851232486457,tm2:1507851232717131(230674),tm3:1507851232730261(243804),tm4:1507851232730303(243846)]
[tm1:1507851232765780,tm2:1507851232786420(20640),tm3:1507851232799621(33841),tm4:1507851232799661(33881)]
[tm1:1507851232836115,tm2:1507851232856061(19946),tm3:1507851232869395(33280),tm4:1507851232869443(33328)]
