[tm1:1507791192730130,tm2:1507791192737305(7175),tm3:1507791192744499(14369),tm4:1507791192744519(14389)]
[tm1:1507791192784069,tm2:1507791192791085(7016),tm3:1507791192798320(14251),tm4:1507791192798340(14271)]
[tm1:1507791192838148,tm2:1507791192845175(7027),tm3:1507791192852496(14348),tm4:1507791192852516(14368)]
[tm1:1507791192893669,tm2:1507791192900924(7255),tm3:1507791192911661(17992),tm4:1507791192911691(18022)]
[tm1:1507791192953230,tm2:1507791192960409(7179),tm3:1507791192971033(17803),tm4:1507791192971064(17834)]
[tm1:1507791193011348,tm2:1507791193018476(7128),tm3:1507791193025954(14606),tm4:1507791193025975(14627)]
[tm1:1507791193065935,tm2:1507791193073161(7226),tm3:1507791193080746(14811),tm4:1507791193080767(14832)]
[tm1:1507791193120765,tm2:1507791193127959(7194),tm3:1507791193136460(15695),tm4:1507791193136481(15716)]
[tm1:1507791193178175,tm2:1507791193183878(5703),tm3:1507791193190782(12607),tm4:1507791193190799(12624)]
[tm1:1507791193230680,tm2:1507791193236436(5756),tm3:1507791193243319(12639),tm4:1507791193243336(12656)]
[tm1:1507791193283254,tm2:1507791193288947(5693),tm3:1507791193294581(11327),tm4:1507791193294598(11344)]
[tm1:1507791193335797,tm2:1507791193341547(5750),tm3:1507791193349043(13246),tm4:1507791193349067(13270)]
[tm1:1507791193391301,tm2:1507791193397074(5773),tm3:1507791193403825(12524),tm4:1507791193403843(12542)]
[tm1:1507791193445140,tm2:1507791193451046(5906),tm3:1507791193458510(13370),tm4:1507791193458534(13394)]
[tm1:1507791193500476,tm2:1507791193506305(5829),tm3:1507791193513349(12873),tm4:1507791193513378(12902)]
[tm1:1507791193554781,tm2:1507791193560538(5757),tm3:1507791193567902(13121),tm4:1507791193567926(13145)]
[tm1:1507791193610188,tm2:1507791193617548(7360),tm3:1507791193626427(16239),tm4:1507791193626447(16259)]
[tm1:1507791193667986,tm2:1507791193675162(7176),tm3:1507791193683576(15590),tm4:1507791193683599(15613)]
[tm1:1507791193725228,tm2:1507791193732610(7382),tm3:1507791193741169(15941),tm4:1507791193741191(15963)]
[tm1:1507791193781130,tm2:1507791193788479(7349),tm3:1507791193796303(15173),tm4:1507791193796324(15194)]
[tm1:1507791193839722,tm2:1507791193846959(7237),tm3:1507791193854874(15152),tm4:1507791193854895(15173)]
[tm1:1507791193894884,tm2:1507791193902039(7155),tm3:1507791193909966(15082),tm4:1507791193909987(15103)]
[tm1:1507791193949969,tm2:1507791193957213(7244),tm3:1507791193965243(15274),tm4:1507791193965265(15296)]
[tm1:1507791194006725,tm2:1507791194014070(7345),tm3:1507791194022131(15406),tm4:1507791194022152(15427)]
[tm1:1507791194063455,tm2:1507791194070671(7216),tm3:1507791194082506(19051),tm4:1507791194082529(19074)]
[tm1:1507791194124565,tm2:1507791194131941(7376),tm3:1507791194143735(19170),tm4:1507791194143756(19191)]
[tm1:1507791194185269,tm2:1507791194190922(5653),tm3:1507791194200682(15413),tm4:1507791194200710(15441)]
[tm1:1507791194242125,tm2:1507791194247960(5835),tm3:1507791194255532(13407),tm4:1507791194255555(13430)]
[tm1:1507791194298443,tm2:1507791194304175(5732),tm3:1507791194312536(14093),tm4:1507791194312559(14116)]
[tm1:1507791194354025,tm2:1507791194359928(5903),tm3:1507791194368385(14360),tm4:1507791194368414(14389)]
[tm1:1507791194410564,tm2:1507791194416547(5983),tm3:1507791194424420(13856),tm4:1507791194424438(13874)]
[tm1:1507791194465570,tm2:1507791194471544(5974),tm3:1507791194480703(15133),tm4:1507791194480749(15179)]
[tm1:1507791194522776,tm2:1507791194528786(6010),tm3:1507791194537028(14252),tm4:1507791194537053(14277)]
