73----rcs.size():1[tm1:1507828370362173,tm2:1507828370366362(4189),tm3:1507828370366435(4262),tm4:1507828370366443(4270)]
74----rcs.size():2[tm1:1507828370398776,tm2:1507828370594780(196004),tm3:1507828370594849(196073),tm4:1507828370594856(196080)]****
75----rcs.size():2[tm1:1507828370627357,tm2:1507828370632916(5559),tm3:1507828370632979(5622),tm4:1507828370632985(5628)]
76----rcs.size():2[tm1:1507828370663896,tm2:1507828370669544(5648),tm3:1507828370669606(5710),tm4:1507828370669621(5725)]
77----rcs.size():2[tm1:1507828370704215,tm2:1507828370709751(5536),tm3:1507828370709831(5616),tm4:1507828370709844(5629)]
78----rcs.size():2[tm1:1507828370748408,tm2:1507828370754030(5622),tm3:1507828370754153(5745),tm4:1507828370754169(5761)]
79----rcs.size():2[tm1:1507828370790273,tm2:1507828370795918(5645),tm3:1507828370795983(5710),tm4:1507828370796022(5749)]
80----rcs.size():2[tm1:1507828370830692,tm2:1507828370836167(5475),tm3:1507828370836233(5541),tm4:1507828370836246(5554)]
81----rcs.size():2[tm1:1507828370867413,tm2:1507828370872816(5403),tm3:1507828370872898(5485),tm4:1507828370872928(5515)]
82----rcs.size():2[tm1:1507828370907663,tm2:1507828370913354(5691),tm3:1507828370913453(5790),tm4:1507828370913462(5799)]
83----rcs.size():2[tm1:1507828370951591,tm2:1507828370957116(5525),tm3:1507828370957189(5598),tm4:1507828370957201(5610)]
84----rcs.size():2[tm1:1507828370993431,tm2:1507828370998973(5542),tm3:1507828370999058(5627),tm4:1507828370999091(5660)]
85----rcs.size():2[tm1:1507828371039153,tm2:1507828371044696(5543),tm3:1507828371044766(5613),tm4:1507828371044795(5642)]
86----rcs.size():2[tm1:1507828371078527,tm2:1507828371084003(5476),tm3:1507828371084118(5591),tm4:1507828371084128(5601)]
87----rcs.size():2[tm1:1507828371118595,tm2:1507828371124022(5427),tm3:1507828371124124(5529),tm4:1507828371124137(5542)]
88----rcs.size():2[tm1:1507828371158749,tm2:1507828371164221(5472),tm3:1507828371164308(5559),tm4:1507828371164318(5569)]
89----rcs.size():2[tm1:1507828371196500,tm2:1507828371201939(5439),tm3:1507828371202030(5530),tm4:1507828371202042(5542)]
90----rcs.size():2[tm1:1507828371234541,tm2:1507828371240072(5531),tm3:1507828371240199(5658),tm4:1507828371240227(5686)]
91----rcs.size():2[tm1:1507828371278017,tm2:1507828371283382(5365),tm3:1507828371283486(5469),tm4:1507828371283497(5480)]
92----rcs.size():2[tm1:1507828371319385,tm2:1507828371324806(5421),tm3:1507828371324894(5509),tm4:1507828371324904(5519)]
93----rcs.size():2[tm1:1507828371357590,tm2:1507828371363513(5923),tm3:1507828371363603(6013),tm4:1507828371363631(6041)]
94----rcs.size():2[tm1:1507828371398893,tm2:1507828371404532(5639),tm3:1507828371404622(5729),tm4:1507828371404651(5758)]
95----rcs.size():2[tm1:1507828371438387,tm2:1507828371444102(5715),tm3:1507828371444178(5791),tm4:1507828371444189(5802)]
96----rcs.size():2[tm1:1507828371479183,tm2:1507828371484590(5407),tm3:1507828371484679(5496),tm4:1507828371484691(5508)]
97----rcs.size():2[tm1:1507828371515908,tm2:1507828371521399(5491),tm3:1507828371521485(5577),tm4:1507828371521494(5586)]
98----rcs.size():2[tm1:1507828371552771,tm2:1507828371558140(5369),tm3:1507828371558219(5448),tm4:1507828371558230(5459)]
99----rcs.size():2[tm1:1507828371592275,tm2:1507828371597509(5234),tm3:1507828371597596(5321),tm4:1507828371597610(5335)]
100----rcs.size():3[tm1:1507828371630783,tm2:1507828371839117(208334),tm3:1507828371839199(208416),tm4:1507828371839213(208430)]****
101----rcs.size():3[tm1:1507828371872082,tm2:1507828371879328(7246),tm3:1507828371879417(7335),tm4:1507828371879427(7345)]
102----rcs.size():3[tm1:1507828371912122,tm2:1507828371919028(6906),tm3:1507828371919117(6995),tm4:1507828371919134(7012)]
103----rcs.size():3[tm1:1507828371950844,tm2:1507828371957722(6878),tm3:1507828371957824(6980),tm4:1507828371957839(6995)]
104----rcs.size():3[tm1:1507828371990157,tm2:1507828371996878(6721),tm3:1507828371996985(6828),tm4:1507828371996998(6841)]
105----rcs.size():3[tm1:1507828372029346,tm2:1507828372036180(6834),tm3:1507828372036284(6938),tm4:1507828372036300(6954)]
106----rcs.size():3[tm1:1507828372069084,tm2:1507828372076021(6937),tm3:1507828372076158(7074),tm4:1507828372076174(7090)]
107----rcs.size():3[tm1:1507828372110656,tm2:1507828372117288(6632),tm3:1507828372117395(6739),tm4:1507828372117408(6752)]
108----rcs.size():3[tm1:1507828372150100,tm2:1507828372156894(6794),tm3:1507828372156987(6887),tm4:1507828372157016(6916)]
109----rcs.size():3[tm1:1507828372188282,tm2:1507828372195342(7060),tm3:1507828372195456(7174),tm4:1507828372195471(7189)]
110----rcs.size():3[tm1:1507828372227811,tm2:1507828372234505(6694),tm3:1507828372234602(6791),tm4:1507828372234616(6805)]
111----rcs.size():3[tm1:1507828372267572,tm2:1507828372274352(6780),tm3:1507828372274466(6894),tm4:1507828372274480(6908)]
112----rcs.size():3[tm1:1507828372309355,tm2:1507828372316216(6861),tm3:1507828372316328(6973),tm4:1507828372316344(6989)]
113----rcs.size():3[tm1:1507828372349104,tm2:1507828372355974(6870),tm3:1507828372356113(7009),tm4:1507828372356130(7026)]
114----rcs.size():3[tm1:1507828372389021,tm2:1507828372395809(6788),tm3:1507828372395937(6916),tm4:1507828372395954(6933)]
115----rcs.size():3[tm1:1507828372436562,tm2:1507828372443405(6843),tm3:1507828372443495(6933),tm4:1507828372443507(6945)]
116----rcs.size():2[tm1:1507828372483909,tm2:1507828372489458(5549),tm3:1507828372489590(5681),tm4:1507828372489599(5690)]
117----rcs.size():2[tm1:1507828372529497,tm2:1507828372534802(5305),tm3:1507828372534915(5418),tm4:1507828372534925(5428)]
118----rcs.size():2[tm1:1507828372567060,tm2:1507828372572535(5475),tm3:1507828372572627(5567),tm4:1507828372572639(5579)]
119----rcs.size():2[tm1:1507828372604319,tm2:1507828372609999(5680),tm3:1507828372610103(5784),tm4:1507828372610139(5820)]
120----rcs.size():2[tm1:1507828372647873,tm2:1507828372653588(5715),tm3:1507828372653666(5793),tm4:1507828372653679(5806)]
121----rcs.size():2[tm1:1507828372689627,tm2:1507828372695334(5707),tm3:1507828372695412(5785),tm4:1507828372695425(5798)]
122----rcs.size():2[tm1:1507828372729489,tm2:1507828372734943(5454),tm3:1507828372735044(5555),tm4:1507828372735098(5609)]
123----rcs.size():2[tm1:1507828372769864,tm2:1507828372775349(5485),tm3:1507828372775427(5563),tm4:1507828372775439(5575)]
124----rcs.size():3[tm1:1507828372807573,tm2:1507828372814681(7108),tm3:1507828372814791(7218),tm4:1507828372814806(7233)]
125----rcs.size():3[tm1:1507828372848651,tm2:1507828372855513(6862),tm3:1507828372855640(6989),tm4:1507828372855652(7001)]
126----rcs.size():3[tm1:1507828372890266,tm2:1507828372897490(7224),tm3:1507828372897609(7343),tm4:1507828372897625(7359)]
127----rcs.size():3[tm1:1507828372930144,tm2:1507828372936894(6750),tm3:1507828372936995(6851),tm4:1507828372937009(6865)]
128----rcs.size():3[tm1:1507828372971934,tm2:1507828372978865(6931),tm3:1507828372978976(7042),tm4:1507828372978992(7058)]
129----rcs.size():3[tm1:1507828373011615,tm2:1507828373018540(6925),tm3:1507828373018651(7036),tm4:1507828373018666(7051)]
130----rcs.size():3[tm1:1507828373050874,tm2:1507828373057643(6769),tm3:1507828373057773(6899),tm4:1507828373057789(6915)]
131----rcs.size():3[tm1:1507828373089875,tm2:1507828373096702(6827),tm3:1507828373096815(6940),tm4:1507828373096830(6955)]
132----rcs.size():3[tm1:1507828373128928,tm2:1507828373135786(6858),tm3:1507828373135910(6982),tm4:1507828373135924(6996)]
133----rcs.size():3[tm1:1507828373170479,tm2:1507828373177335(6856),tm3:1507828373177451(6972),tm4:1507828373177465(6986)]
134----rcs.size():2[tm1:1507828373209463,tm2:1507828373214790(5327),tm3:1507828373214916(5453),tm4:1507828373214929(5466)]
135----rcs.size():2[tm1:1507828373246734,tm2:1507828373252199(5465),tm3:1507828373252323(5589),tm4:1507828373252337(5603)]
136----rcs.size():2[tm1:1507828373284612,tm2:1507828373290147(5535),tm3:1507828373290256(5644),tm4:1507828373290268(5656)]
137----rcs.size():2[tm1:1507828373330552,tm2:1507828373336203(5651),tm3:1507828373336290(5738),tm4:1507828373336303(5751)]
138----rcs.size():2[tm1:1507828373368804,tm2:1507828373374372(5568),tm3:1507828373374501(5697),tm4:1507828373374514(5710)]
139----rcs.size():2[tm1:1507828373412638,tm2:1507828373418208(5570),tm3:1507828373418344(5706),tm4:1507828373418364(5726)]
140----rcs.size():2[tm1:1507828373456951,tm2:1507828373462795(5844),tm3:1507828373462902(5951),tm4:1507828373462926(5975)]
141----rcs.size():2[tm1:1507828373499490,tm2:1507828373504920(5430),tm3:1507828373505044(5554),tm4:1507828373505123(5633)]
142----rcs.size():2[tm1:1507828373537591,tm2:1507828373543080(5489),tm3:1507828373543188(5597),tm4:1507828373543225(5634)]
143----rcs.size():2[tm1:1507828373578790,tm2:1507828373584298(5508),tm3:1507828373584392(5602),tm4:1507828373584403(5613)]
144----rcs.size():3[tm1:1507828373617171,tm2:1507828373623988(6817),tm3:1507828373624147(6976),tm4:1507828373624163(6992)]
145----rcs.size():3[tm1:1507828373658344,tm2:1507828373665221(6877),tm3:1507828373665387(7043),tm4:1507828373665422(7078)]
146----rcs.size():3[tm1:1507828373702505,tm2:1507828373709382(6877),tm3:1507828373709510(7005),tm4:1507828373709525(7020)]
147----rcs.size():4[tm1:1507828373741153,tm2:1507828373749503(8350),tm3:1507828373749640(8487),tm4:1507828373749656(8503)]
148----rcs.size():4[tm1:1507828373781136,tm2:1507828373789404(8268),tm3:1507828373789533(8397),tm4:1507828373789545(8409)]
149----rcs.size():4[tm1:1507828373829341,tm2:1507828373837670(8329),tm3:1507828373837813(8472),tm4:1507828373837868(8527)]
150----rcs.size():4[tm1:1507828373869456,tm2:1507828373877807(8351),tm3:1507828373877920(8464),tm4:1507828373877942(8486)]
151----rcs.size():4[tm1:1507828373909932,tm2:1507828373918182(8250),tm3:1507828373918309(8377),tm4:1507828373918325(8393)]
152----rcs.size():3[tm1:1507828373948334,tm2:1507828373955230(6896),tm3:1507828373955375(7041),tm4:1507828373955392(7058)]
153----rcs.size():3[tm1:1507828373988265,tm2:1507828373995127(6862),tm3:1507828373995251(6986),tm4:1507828373995286(7021)]
154----rcs.size():3[tm1:1507828374030288,tm2:1507828374037261(6973),tm3:1507828374037388(7100),tm4:1507828374037404(7116)]
155----rcs.size():4[tm1:1507828374075923,tm2:1507828374084286(8363),tm3:1507828374084419(8496),tm4:1507828374084441(8518)]
156----rcs.size():5[tm1:1507828374122009,tm2:1507828374356993(234984),tm3:1507828374357169(235160),tm4:1507828374357233(235224)]****
